dataset,n_obs,residual_mean,residual_sd,residual_min,residual_max,shapiro_p
C,854,1.111263046193892e-15,0.8306615427338626,-2.9893671139686946,2.677053221979697,0.0014548845283366885
G,449,-6.527814665947468e-17,1.0158393189664914,-3.178571428571429,2.0877192982456143,2.6768678561947658e-9
